"","Name","Brands","Discounted_Price","Original_Price","Ratings","Sponsorship"
"0","Men's Limited Edition Save The Data T-Shirt | Professionally Me White Tech Graphic Tee | 200gsm Polyester with UPF 50+ & Moisture-Wicking | Unique Printed Tshirt for IT Data Professionals","ABLING","999","1,499","No Rating","Sponsered"
"1","Data Nerd T-Shirt, 100% Cotton T-Shirts for Programmer, Coding, Developer, Software Mens, Round Neck T Shirts for Women, Half Sleeve Tshirt for Men","DUDEME","499","1,000","4.2","Not Sponsered"
"2","Trust A Data Scientist Tee – Men's Smart Casual Lounge Round Neck Black T-Shirt for Tech Enthusiasts, Super Combed Cotton 200gsm+ Fabric, Graphic Print Tshirts, Professional Humor","ABLING","499","1,599","No Rating","Not Sponsered"
"3","Men's Regular Fit T-Shirt Talk Data to Me - Data Scientist Funny 100% Cotton T-Shirt","Heybroh","499","1,199","No Rating","Not Sponsered"
"4","Men Athleisure Smart Tech T-Shirt - Easy Stain Release, Anti Stat, Ultra Soft","Van Heusen","399","599","4.1","Not Sponsered"
"5","Men's Solid Regular Fit T-Shirt","DAMENSCH","419
                       
                        .","649","4.2","Not Sponsered"
"6","Sports T Shirt for Men Quick Dry Fit Regular Fit Tshirt for Men Gym T Shirts for Men for Casual Wear Workout T Shirts for Man Active Gym Wear for Men Running T-Shirts for Men T Shirt for Man","Boldfit","399","999","4.2","Not Sponsered"
"7","IM21 Men's Super Combed Supima Cotton Solid Round Neck Half Sleeve T-Shirt","Jockey","899","999","4.0","Not Sponsered"
"8","Plus Size T-shirt, Pocket Panda Unisex T-Shirt, Round neck, Regular","Toodlegram","899","1,000","4.1","Not Sponsered"
"9","in My World 1 + 1 = 10 T-Shirt, 100% Cotton T-Shirts for Programmer, Coding, Developer, Software Mens, Round Neck T Shirts for Women, Half Sleeve Tshirt for Men","DUDEME","499","899","4.2","Not Sponsered"
"10","Makeitbharat Oversized Pure Cotton White T Shirt - Data Analytics Design","Generic","449","600","No Rating","Not Sponsered"
"11","Funny Spreadsheet T-Shirt, Data Analyst Tee, Accountant Gift, Office Humor Shirt, Casual Graphic Top, Unisex Tee","Seek Buy Love","449","1,000","No Rating","Not Sponsered"
"12","I Predict The Future T-Shirt, 100% Cotton T-Shirts for Programmer, Coding, Developer, Software Mens, Round Neck T Shirts for Women, Half Sleeve Tshirt for Men …","DUDEME","549","1,999","3.6","Not Sponsered"
"13","Unisex Round Neck Graphic ' Types of People | There are Two Types of People Those That can Extrapolate from Incomplete Data' Polyester T-Shirt White","Generic","449","1,499","No Rating","Not Sponsered"
"14","T-Shirt & Shorts for Men","Aqua Holic","449","333","3.0","Not Sponsered"
"15","Men's Graphic Printed Regular Fit Cotton T-Shirt (Pack of 3)","NOBERO","449","3,499","No Rating","Not Sponsered"
"16","Black Cotton Maths Science Printed T-Shirt: Flaunt Your Passion | Perfect for Science & Math Enthusiasts | Ideal Gas Law","Generic","499","999","No Rating","Not Sponsered"
"17","Men's Limited Edition Save The Data T-Shirt | Professionally Me White Tech Graphic Tee | 200gsm Polyester with UPF 50+ & Moisture-Wicking | Unique Printed Tshirt for IT Data Professionals","ABLING","299","1,499","5.0","Not Sponsered"
"18","Binary Tree Coder Programmer, Developer, Computer Science summer-22 Mens Tshirts Halfsleeve, S","Quirkipedia","499","799","3.8","Not Sponsered"
"19","Men's Athletic Fit Compression Full Sleeve Plain T-shirt for Multi Sports Cycling, Cricket, Football, Badminton & Fitness","NEVER LOSE","380","999","4.0","Not Sponsered"
"20","Men's Geometric Regular Fit T-Shirt (PM508772_White Invalid Data)","Pepe Jeans","649","1,599","No Rating","Not Sponsered"
"21","Men Printed Regular Fit T-Shirt | Tech T-Shirt for Men | Printed T-Shirt for Boys | Cotton T-Shirt for Men|Tech Green Round Neck Half Sleeve T-Shirt","JAVA IMPRESSIONS","969","899","1.0","Not Sponsered"
"22","Unisex Round Neck Graphic 'Types of People | There are Two Types of People Those That can Extrapolate from Incomplete Data' Polyester T-Shirt White [Size XXS/34in to 7XL/56in]","UDNAG","429","1,999","No Rating","Not Sponsered"
"23","Unisex Round Neck Graphic 'Big Data | i Cannot Big Data' Polyester T-Shirt White [Size 2YrsOld/22in to 7XL/56in]","UDNAG","999","1,999","5.0","Not Sponsered"
"24","Limited Edition Authentically Me Nature's Reflection Multi Colour T-Shirt","ABLING","399","1,499","No Rating","Not Sponsered"
"25","Men's Round Neck Cotton Half Sleeved T-Shirt with Printed Graphics - Smile Data","Caseria","699
                       
                        .","999","5.0","Sponsered"
"26","Men's God Cotton Printed Cotton T-Shirt (R21-M-GOD-SB_Teal_3XL)","ADRO","649","1,499","5.0","Sponsered"
"27","Men Cotton Feel Super Stretchy Slim fit Polyester T Shirt","DOMIN8","649","1,499","4.1","Sponsered"
"28","Men's Round Neck Cotton Half Sleeved T-Shirt with Printed Graphics - Science It's Like Magic","Caseria","499","999","3.9","Sponsered"
"29","Men's Regular Fit T-Shirt","ADRO","879","1,499","No Rating","Not Sponsered"
"30","Men's Round Neck Cotton Half Sleeved T-Shirt with Printed Graphics - Data Lion","Caseria","499","999","No Rating","Not Sponsered"
"31","Black Cotton Maths Science Printed T-Shirt: Flaunt Your Passion | Perfect for Science & Math Enthusiasts | Data > Opinion","Generic","699","999","4.2","Not Sponsered"
"32","Men's Color Block Active Regular Fit T-Shirt","Amazon Brand - Symbol","499","699","4.2","Not Sponsered"
"33","Graphic Printed T-Shirt for Men & Women | Funny Quote T-Shirts Eat, Sleep,Code,Repeat | Hindi Slogan Coders Tshirts | Round Neck Tees | 100% Cotton T Shirts | Half Sleeve Tshirt","Workshop","649","999","3.8","Not Sponsered"
"34","Football Meesii 10 interr Jersey T-Shirt with Black Shorts 2023-24 (Kid's & Men's)","Generic","399","999","No Rating","Not Sponsered"
